"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"BROMINATED FLAME RETARDANTS","BIS[3,5-DIBROMO-4-(2,3-DIBROMOPROPOXY)PHENYL] SULPHONE","42757-55-1"
"BROMINATED FLAME RETARDANTS","BROMOETHYLENE","593-60-2"
"BROMINATED FLAME RETARDANTS","BROMOKLOR 50 (9CI)","82600-56-4"
"BROMINATED FLAME RETARDANTS","Benzene, ethenyl-, ar-bromo derivs, homopolymers","148993-99-1"
"BROMINATED FLAME RETARDANTS","Bromophenol, formaldehyde, epichlorohydrin polymer","68541-56-0"
"BROMINATED FLAME RETARDANTS","CARBONIC DICHLORIDE, POLYMER WITH 4,4'-(1-METHYLETHYLIDENE)BIS(2,6-D...","71342-77-3"
"BROMINATED FLAME RETARDANTS","CARBONIC DICHLORIDE, POLYMER WITH 4,4'-(1-METHYLETHYLIDENE)BIS(2,6-DIBROMOPHENOL) AND PHENOL","94334-64-2"
"BROMINATED FLAME RETARDANTS","DIBROMOSTYRENE","31780-26-4"
"BROMINATED FLAME RETARDANTS","ETHOXYLATED HYDANTOIN GLYCOL DICOCOATE","96-13-9"
"BROMINATED FLAME RETARDANTS","N-(2,4,6-TRIBROMOPHENYL) MALEINIMIDE","59789-51-4"
"BROMINATED FLAME RETARDANTS","PENTABROMOTOLUENE","87-83-2"
"BROMINATED FLAME RETARDANTS","PENTAERYTHRITOL DIBROMOHYDRIN","3296-90-0"
"BROMINATED FLAME RETARDANTS","PHENOL, 2,4-DIBROMO-","615-58-7"
"BROMINATED FLAME RETARDANTS","PHENOL, 4,4'-SULFONYLBIS(2,6-DIBROMO-","39635-79-5"
"BROMINATED FLAME RETARDANTS","PHENOL, PENTABROMO-","608-71-9"
"BROMINATED FLAME RETARDANTS","PHOSPHORIC ACID, MIXED 3-BROMO-2,2-DIMETHYLPROPYL AND 2-BROMOETHYL AND 2-CHLOROETHYL ESTERS","125997-20-8"
"BROMINATED FLAME RETARDANTS","POLYBUTADIENE, BROMINATED","68441-46-3"
"BROMINATED FLAME RETARDANTS","PRATHERM EC 14 (9CI)","139638-58-7"
"BROMINATED FLAME RETARDANTS","PRATHERM EC 20 (9CI)","135229-48-0"
"BROMINATED FLAME RETARDANTS","SAYTEX BN 451","52907-07-0"
"BROMINATED FLAME RETARDANTS","TBBA","30496-13-0"
"BROMINATED FLAME RETARDANTS","TETRABROMOBISPHENOL A","21850-44-2"
"BROMINATED FLAME RETARDANTS","TETRABROMOBISPHENOL A BIS(ALLYL ETHER)","25327-89-3"
"BROMINATED FLAME RETARDANTS","TETRABROMOBISPHENOL A BIS(ETHOXYLATE)","4162-45-2"
"BROMINATED FLAME RETARDANTS","TETRABROMOBISPHENOL A, 2,2-BIS(4-(2,3-EPOXYPROPYLOXY)DIBROMOPHENYL)PROPANE POLYMER","70682-74-5"
"BROMINATED FLAME RETARDANTS","TETRABROMOBISPHENOL A, PHOSGENE, POLYMER","28906-13-0"
"BROMINATED FLAME RETARDANTS","TETRABROMOBISPHENOL B","37853-61-5"
"BROMINATED FLAME RETARDANTS","TETRABROMOCYCLOOCTANE","31454-48-5"
"BROMINATED FLAME RETARDANTS","TETRABROMOPHTHALIC ACID, SODIUM SALT","25357-79-3"
"BROMINATED FLAME RETARDANTS","TETRABROMOPHTHALIC ANHYDRIDE","632-79-1"
"BROMINATED FLAME RETARDANTS","TRIBROMONEOPENTYL ALCOHOL","36483-57-5"
"BROMINATED FLAME RETARDANTS","TRIBROMOPHENOL","118-79-6"
"BROMINATED FLAME RETARDANTS","TRIBROMOSTYRENE","61368-34-1"
"BROMINATED FLAME RETARDANTS","TRIS(DIBROMOPHENYL) PHOSPHATE","49690-63-3"
"BROMINATED FLAME RETARDANTS","TRIS(TRIBROMONEOPENTYL) PHOSPHATE","19186-97-1"
"BROMINATED FLAME RETARDANTS","VINYLCYCLOHEXENE TETRABROMIDE","3322-93-8"
"CADMIUM AND CADMIUM COMPOUNDS","9,12-OCTADECADIENOIC ACID (Z,Z)-, DIMER, POLYMER WITH N-(2-AMINOETHYL)-1,2-ETHANEDIAMINE","37189-83-6"
"CADMIUM AND CADMIUM COMPOUNDS","BIS(DIETHYLDITHIOCARBAMATO)CADMIUM","14239-68-0"
"CADMIUM AND CADMIUM COMPOUNDS","C.I. PIGMENT RED 108","58339-34-7"
"CADMIUM AND CADMIUM COMPOUNDS","C.I. PIGMENT YELLOW 35","8048-07-5"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM DI(ACETATE)","543-90-8"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM DINITRATE TETRAHYDRATE","10022-68-1"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM DISTEARATE","2223-93-0"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM HEXAFLUOROSILICATE(2-)","17010-21-8"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM SELENIDE","1306-24-7"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM SELENIDE SULFIDE","12626-36-7"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM SULFATE (1:1) HYDRATE (3:8)","7790-84-3"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM TUNGSTATE","7790-85-4"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-CARBONATE","513-78-0"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-CHLORIDE","10108-64-2"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-CYANIDE","542-83-6"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-DIFORMATE","4464-23-7"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-FLUORIDE","7790-79-6"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-IODIDE","7790-80-9"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-LITHOPONE-YELLOW","90604-90-3"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-NITRATE","10325-94-7"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-OXIDE","1306-19-0"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-SULPHATE","10124-36-4"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-SULPHIDE","1306-23-6"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-TELLURIDE","1306-25-8"
